Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2008/09,Liverpool,43.0,Liverpool,43.0,86.0,2.263157894736842,2
2008/09,Man City,39.0,Man City,11.0,50.0,1.3157894736842106,10
2008/09,Man United,50.0,Man United,40.0,90.0,2.3684210526315788,1
2008/09,Middlesbrough,24.0,Middlesbrough,8.0,32.0,0.8421052631578947,19
2008/09,Newcastle,22.0,Newcastle,12.0,34.0,0.8947368421052632,18
2008/09,Portsmouth,27.0,Portsmouth,14.0,41.0,1.0789473684210527,13
2008/09,Stoke,35.0,Stoke,10.0,45.0,1.1842105263157894,11
2008/09,Sunderland,21.0,Sunderland,15.0,36.0,0.9473684210526315,16
2008/09,Tottenham,35.0,Tottenham,16.0,51.0,1.3421052631578947,8
2008/09,West Brom,24.0,West Brom,8.0,32.0,0.8421052631578947,19
2008/09,West Ham,29.0,West Ham,22.0,51.0,1.3421052631578947,8
2008/09,Wigan,29.0,Wigan,16.0,45.0,1.1842105263157894,11
2009/10,Arsenal,47.0,Arsenal,28.0,75.0,1.9736842105263157,3
2009/10,Aston Villa,32.0,Aston Villa,32.0,64.0,1.6842105263157894,6
2009/10,Birmingham,33.0,Birmingham,17.0,50.0,1.3157894736842106,9
2009/10,Blackburn,36.0,Blackburn,14.0,50.0,1.3157894736842106,9
2009/10,Bolton,24.0,Bolton,15.0,39.0,1.0263157894736843,14
2009/10,Burnley,26.0,Burnley,4.0,30.0,0.7894736842105263,18
2009/10,Chelsea,52.0,Chelsea,34.0,86.0,2.263157894736842,1
2009/10,Everton,39.0,Everton,22.0,61.0,1.605263157894737,8
2009/10,Fulham,36.0,Fulham,10.0,46.0,1.2105263157894737,12
2009/10,Hull,24.0,Hull,6.0,30.0,0.7894736842105263,18
2009/10,Liverpool,42.0,Liverpool,21.0,63.0,1.6578947368421053,7
2009/10,Man City,40.0,Man City,27.0,67.0,1.763157894736842,5
2009/10,Man United,49.0,Man United,36.0,85.0,2.236842105263158,2
2009/10,Portsmouth,18.0,Portsmouth,10.0,28.0,0.7368421052631579,20
2009/10,Stoke,27.0,Stoke,20.0,47.0,1.236842105263158,11
2009/10,Sunderland,34.0,Sunderland,10.0,44.0,1.1578947368421053,13
2009/10,Tottenham,44.0,Tottenham,26.0,70.0,1.8421052631578947,4
2009/10,West Ham,26.0,West Ham,9.0,35.0,0.9210526315789473,17
2009/10,Wigan,25.0,Wigan,11.0,36.0,0.9473684210526315,16
2009/10,Wolves,21.0,Wolves,17.0,38.0,1.0,15
2010/11,Arsenal,37.0,Arsenal,31.0,68.0,1.7894736842105263,4
2010/11,Aston Villa,31.0,Aston Villa,17.0,48.0,1.263157894736842,9
2010/11,Birmingham,26.0,Birmingham,13.0,39.0,1.0263157894736843,18
2010/11,Blackburn,28.0,Blackburn,15.0,43.0,1.131578947368421,15
2010/11,Blackpool,20.0,Blackpool,19.0,39.0,1.0263157894736843,18
2010/11,Bolton,35.0,Bolton,11.0,46.0,1.2105263157894737,12
2010/11,Chelsea,45.0,Chelsea,26.0,71.0,1.868421052631579,2
